hash,timestamp,datetime,seller,gas_used,tx_fee_eth,total_price_eth,nft_collection,nft_token_id,nft_token_address,nft_type,buyer
0xd2d76f7a6527c564d5a5f5aad6e7947d6948981aadb27983d479a63c0d08b7f9,1746830159,2025-05-09 22:35:59,0x598B0a0d53995d81eC59D57E5e3766e0Ccaa0624,288154,0.000447767496325898,0.00016,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0xcc2f9880745e9d041c6f47db206d3617afcf7512092394f628dad0e31f2f434f,1746828179,2025-05-09 22:02:59,0x8CAb8a0E978758230804734b26c2F01514D62b85,272132,0.000535324394950604,0.00051,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x9ffb0787661b8532de8da3d7d6d33f230863b5289d5646ec59dd1495d42bb12f,1746815015,2025-05-09 18:23:35,0x350e60A5BF976B01F67bB715951137cfB233CF3B,277606,0.001150376438401862,0.00185,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x762f8c71da1baf94c63c06df422792b0d13d15c87ad8f7d6b41b3009a7bc884a,1746801635,2025-05-09 14:40:35,0x350e60A5BF976B01F67bB715951137cfB233CF3B,446585,0.00615055994951838,0.002511,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x925c8d0678d35f47e90833934b5746202eb2ed1bf3d29ca1d78152f540fab6f6,1746797675,2025-05-09 13:34:35,0xd628478D1d38B15e0fAc02eb40E4fA9D03652072,261996,0.003041419190498304,0.0001,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0xbad3a8628d460a160d11d3d4131bba3d0a8016cf5648a775a1e209199ab4b70e,1746797375,2025-05-09 13:29:35,0xD36441bde629AdE0F8d2eEF2C74E05156Efb84D2,465337,0.003322494666631946,0.00014,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x31fc1c784756ba9e061796b946f2da3bdb86a7f535037707d2055a72a90786cc,1746797243,2025-05-09 13:27:23,0x075704E8084967e37c4D277c9573ceBa634101CD,262008,0.001686647599469568,0.00015,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0xe72bd5dd9ae90eac8cc3434b570341d36606d504e8b68e7879817c6a7a6dc475,1746793991,2025-05-09 12:33:11,0x173f6B7147130E030fEea13b4f60C900170524A5,288999,0.00105400989730431,0.00051,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x5a7c83207fcbbdea18c2c03e8439a7b6b1b054f7a043731b94b27f81d0fe7b9e,1746790127,2025-05-09 11:28:47,0xb8df449e74F2F79054227530F46eD6f680D004c4,252420,0.00151653326860056,0.00023,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x543d271c7d0741cdb68aacad0289750c0cff0858a2af916697d31e43f43dade5,1746785627,2025-05-09 10:13:47,0x0F26Db5eBad6283bCcEB07bC82CbC5873cDFa57D,279120,0.0019685165678184,0.00025,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
